3102
297	1 20	1 21	1 14	1 13	0.016625300000000003
298	1 21	1 22	1 14	1 13	0.009197754999999998
299	1 16	1 18	1 14	1 12	0.415451
300	1 18	1 20	1 14	1 12	0.101938
301	1 20	1 22	1 14	1 12	0.04366585
302	1 22	1 24	1 14	1 12	0.01549505
303	1 24	1 26	1 14	1 12	0.010025645
304	1 26	1 28	1 14	1 12	0.006003895
305	1 28	1 30	1 14	1 12	0.00377519
306	1 17	1 20	1 14	1 11	0.2483985
307	1 20	1 23	1 14	1 11	0.0660655
308	1 23	1 26	1 14	1 11	0.02211535
309	1 26	1 29	1 14	1 11	0.010647400000000001
310	1 29	1 32	1 14	1 11	0.00581458
311	1 32	1 35	1 14	1 11	0.0043876
312	1 35	1 38	1 14	1 11	0.002362695
313	1 18	1 22	1 14	1 10	0.20086199999999999
314	1 22	1 26	1 14	1 10	0.0388878
315	1 26	1 30	1 14	1 10	0.01558385
316	1 30	1 34	1 14	1 10	0.00762803
317	1 34	1 38	1 14	1 10	0.00484358
318	1 38	1 242	1 14	1 10	0.002769615
319	1 242	1 52	1 14	1 10	0.002332
320	1 16	1 17	1 15	1 14	0.7179
321	1 17	1 18	1 15	1 14	0.1607025
322	1 18	1 19	1 15	1 14	0.07903260000000001
323	1 19	1 20	1 15	1 14	0.0398081
324	1 20	1 21	1 15	1 14	0.0272726
325	1 21	1 22	1 15	1 14	0.01457655
326	1 22	1 23	1 15	1 14	0.00775797
327	1 17	1 19	1 15	1 13	0.34952
328	1 19	1 21	1 15	1 13	0.106566
329	1 21	1 23	1 15	1 13	0.0366711
330	1 23	1 25	1 15	1 13	0.01743335
331	1 25	1 27	1 15	1 13	0.009942505
332	1 27	1 29	1 15	1 13	0.00617787
333	1 29	1 31	1 15	1 13	0.00370221
334	1 18	1 21	1 15	1 12	0.27614700000000003
335	1 21	1 24	1 15	1 12	0.0591235
336	1 24	1 27	1 15	1 12	0.02373045
337	1 27	1 30	1 15	1 12	0.01108165
338	1 30	1 33	1 15	1 12	0.0057535550000000005
339	1 33	1 36	1 15	1 12	0.00468651
340	1 36	1 39	1 15	1 12	0.00215061
341	1 19	1 23	1 15	1 11	0.2018525
342	1 23	1 27	1 15	1 11	0.042481450000000004
343	1 27	1 31	1 15	1 11	0.016242850000000003
344	1 31	1 35	1 15	1 11	0.008628245
345	1 35	1 39	1 15	1 11	0.004405465
346	1 39	1 49	1 15	1 11	0.003363355
347	1 49	1 53	1 15	1 11	0.00234991
348	1 17	1 18	1 16	1 15	0.5015905
349	1 18	1 19	1 16	1 15	0.1690505
350	1 19	1 20	1 16	1 15	0.0700488
351	1 20	1 21	1 16	1 15	0.042991
352	1 21	1 22	1 16	1 15	0.021224350000000003
353	1 22	1 23	1 16	1 15	0.0105899
354	1 23	1 24	1 16	1 15	0.007588135
355	1 18	1 20	1 16	1 14	0.3583365
356	1 20	1 22	1 16	1 14	0.10602400000000001
357	1 22	1 24	1 16	1 14	0.031397350000000004
358	1 24	1 26	1 16	1 14	0.018008950000000003
359	1 26	1 28	1 16	1 14	0.009978825
360	1 28	1 30	1 16	1 14	0.005759755
361	1 30	1 32	1 16	1 14	0.0036171700000000003
362	1 19	1 22	1 16	1 13	0.2654225
363	1 22	1 25	1 16	1 13	0.054370299999999996
364	1 25	1 28	1 16	1 13	0.022929400000000003
365	1 28	1 31	1 16	1 13	0.01048615
366	1 31	1 34	1 16	1 13	0.006182115
367	1 34	1 37	1 16	1 13	0.00422698
368	1 37	1 40	1 16	1 13	0.002185555
369	1 20	1 24	1 16	1 12	0.1965965
370	1 24	1 28	1 16	1 12	0.043979050000000006
371	1 28	1 32	1 16	1 12	0.015587750000000001
372	1 32	1 36	1 16	1 12	0.00912706
373	1 36	1 40	1 16	1 12	0.003994055
374	1 40	1 50	1 16	1 12	0.00351556
375	1 50	1 54	1 16	1 12	0.002332575
376	1 18	1 19	1 17	1 16	0.7205649999999999
377	1 19	1 20	1 17	1 16	0.176817
378	1 20	1 21	1 17	1 16	0.08977225
379	1 21	1 22	1 17	1 16	0.039860950000000006
380	1 22	1 23	1 17	1 16	0.018168749999999997
381	1 23	1 24	1 17	1 16	0.0126488
382	1 24	1 25	1 17	1 16	0.009743479999999999
383	1 19	1 21	1 17	1 15	0.38025549999999997
384	1 21	1 23	1 17	1 15	0.08962505
385	1 23	1 25	1 17	1 15	0.0359234
386	1 25	1 27	1 17	1 15	0.0181996
387	1 27	1 29	1 17	1 15	0.010160349999999999
388	1 29	1 31	1 17	1 15	0.0059434399999999995
389	1 31	1 33	1 17	1 15	0.00386782
390	1 20	1 23	1 17	1 14	0.271906
391	1 23	1 26	1 17	1 14	0.05988385
392	1 26	1 29	1 17	1 14	0.023675750000000002
393	1 29	1 32	1 17	1 14	0.01078175
394	1 32	1 35	1 17	1 14	0.00697069
395	1 35	1 38	1 17	1 14	0.003748805
396	1 38	1 241	1 17	1 14	0.00243756
397	1 21	1 25	1 17	1 13	0.1798385
398	1 25	1 29	1 17	1 13	0.0442304
399	1 29	1 33	1 17	1 13	0.01629475
400	1 33	1 37	1 17	1 13	0.00903619
401	1 37	1 241	1 17	1 13	0.004272275
402	1 241	1 51	1 17	1 13	0.00363516
403	1 51	1 55	1 17	1 13	0.002369295
404	1 19	1 20	1 18	1 17	0.553261
405	1 20	1 21	1 18	1 17	0.1643165
406	1 21	1 22	1 18	1 17	0.06116925
407	1 22	1 23	1 18	1 17	0.0248232
408	1 23	1 24	1 18	1 17	0.016194649999999998
409	1 24	1 25	1 18	1 17	0.011631349999999999
410	1 25	1 26	1 18	1 17	0.00740503
411	1 20	1 22	1 18	1 16	0.35531250000000003
