19806
168	1 8	1 6	1 16	1 18	0.0090468	0.005247565223077951
169	1 8	1 6	1 18	1 20	0.00464169	0.0036516988629280906
170	1 8	1 6	1 20	1 22	0.0027392450000000004	0.0030847666979727903
171	1 8	1 5	1 11	1 14	0.125381	0.006266973640552295
172	1 8	1 5	1 14	1 17	0.0287302	0.006062083015038487
173	1 8	1 5	1 17	1 20	0.01161245	0.004258659251879536
174	1 8	1 5	1 20	1 23	0.00525722	0.002604392413543549
175	1 8	1 5	1 26	1 29	0.00156486	0.0023976551479257574
176	1 8	1 5	1 29	1 32	0.0007857445	0.0035076906609388878
177	1 8	1 5	1 32	1 35	0.0005803195000000001	0.003949145491499823
178	1 8	1 4	1 12	1 16	0.08969895	0.0061462209964086014
179	1 8	1 4	1 16	1 20	0.0221238	0.00529725746324121
180	1 8	1 4	1 20	1 24	0.008312895	0.003049537717856246
181	1 8	1 4	1 28	1 32	0.0016963199999999999	0.0036067575331869273
182	1 8	1 4	1 32	1 36	0.000883121	0.004099332346846383
183	1 8	1 4	1 36	1 40	0.0006168734999999999	0.004319551873715624
184	1 8	1 4	1 40	1 44	0.0004525805	0.004468780469976247
185	1 8	1 3	1 13	1 18	0.07303665000000001	0.005837341424364734
186	1 8	1 3	1 18	1 23	0.0158509	0.003177099753223504
187	1 8	1 3	1 23	1 28	0.00421242	0.0026408811237297967
188	1 8	1 3	1 28	1 33	0.002217255	0.0033081461382570942
189	1 8	1 3	1 33	1 38	0.00134514	0.0038870796825239712
190	1 8	1 3	1 38	1 43	0.0007536875	0.0038028261767149487
191	1 8	1 3	1 43	1 48	0.000475782	0.005222453180363365
192	1 8	1 2	1 14	1 20	0.0565558	0.00595550800554543
193	1 8	1 2	1 20	1 26	0.01159255	0.00282105460103901
194	1 8	1 2	1 32	1 38	0.001929165	0.0040643398789177556
195	1 8	1 2	1 38	1 44	0.001000831	0.00415509069865234
196	1 8	1 2	1 44	1 50	0.000568673	0.005511547467086566
197	1 8	1 2	1 50	1 56	0.000350196	0.005937888555319042
198	1 8	1 2	1 56	1 62	0.000221603	0.00687087732985516
199	1 8	1 1	1 15	1 22	0.0458636	0.00455350679417193
200	1 8	1 1	1 22	1 29	0.00770934	0.0023261577481348238
201	1 8	1 1	1 29	1 36	0.003446055	0.0035953287301958028
202	1 8	1 1	1 36	1 43	0.00149147	0.00407990802626222
203	1 8	1 1	1 43	1 50	0.0007626285	0.005387838291142298
204	1 8	1 1	1 50	1 57	0.000485421	0.005958919807443063
205	1 8	1 1	1 57	1 64	0.0002797605	0.007096309441783878
206	1 8	1 1	1 64	1 71	0.0001520435	0.007342939174048156
207	1 9	1 8	1 10	1 11	0.32089999999999996	0.016183302243899692
208	1 9	1 8	1 11	1 12	0.08870465	0.031673079275166806
209	1 9	1 8	1 12	1 13	0.03389045	0.0160348573428938
210	1 9	1 8	1 13	1 14	0.0198745	0.008213747672263653
211	1 9	1 8	1 14	1 15	0.0109712	0.0026800156146957166
212	1 9	1 8	1 15	1 16	0.0051166449999999995	0.0012713874998028737
213	1 9	1 8	1 16	1 17	0.004561695	0.0024238190008470566
214	1 9	1 8	1 17	1 18	0.003201695	0.001951704883003772
215	1 9	1 7	1 11	1 13	0.1770895	0.019967628939774638
216	1 9	1 7	1 13	1 15	0.04883015	0.0027444083555287734
217	1 9	1 7	1 15	1 17	0.0160298	0.0024842188748298312
218	1 9	1 7	1 17	1 19	0.009256445	0.0029773671354548547
219	1 9	1 7	1 19	1 21	0.0048600150000000005	0.0025497599195955173
220	1 9	1 7	1 21	1 23	0.002319825	0.002224873302802542
221	1 9	1 7	1 23	1 25	0.001494235	0.0024108394766559666
222	1 9	1 7	1 25	1 27	0.0008847390000000001	0.0026895842679436773
223	1 9	1 6	1 12	1 15	0.120181	0.006963651712884674
224	1 9	1 6	1 15	1 18	0.0274629	0.00315920653135369
225	1 9	1 6	1 18	1 21	0.01123015	0.002494260976997469
226	1 9	1 6	1 27	1 30	0.00127346	0.0025220380619357208
227	1 9	1 6	1 30	1 33	0.0009364005	0.0037516814276026184
228	1 9	1 6	1 33	1 36	0.0006461315	0.0035462563112388912
229	1 9	1 5	1 13	1 17	0.09234265	0.004609385363891246
230	1 9	1 5	1 17	1 21	0.02209705	0.0032910765079278573
231	1 9	1 5	1 21	1 25	0.0063089949999999995	0.00235047115675223
232	1 9	1 5	1 25	1 29	0.0029525000000000003	0.0026275642097200185
233	1 9	1 5	1 29	1 33	0.0013963600000000001	0.0034094260739854806
234	1 9	1 5	1 33	1 37	0.00104667	0.0037583728592174978
235	1 9	1 5	1 37	1 41	0.0006164985	0.0036145782665390398
236	1 9	1 5	1 41	1 45	0.00042361899999999997	0.004350450908124774
237	1 9	1 4	1 14	1 19	0.07026575	0.005530317947788405
238	1 9	1 4	1 19	1 24	0.014685	0.0029911669460281525
239	1 9	1 4	1 24	1 29	0.0057209	0.0028665017031047867
240	1 9	1 4	1 34	1 39	0.001275175	0.0040404748369052635
241	1 9	1 4	1 39	1 44	0.0007594815	0.004267725844267918
242	1 9	1 4	1 44	1 49	0.0004526875	0.005228025337388646
243	1 9	1 4	1 49	1 54	0.000288837	0.005693243695829339
244	1 9	1 3	1 15	1 21	0.05535715	0.004170572622428908
245	1 9	1 3	1 21	1 27	0.0104234	0.0024499282792957264
246	1 9	1 3	1 27	1 33	0.003720595	0.0030606246654083773
247	1 9	1 3	1 33	1 39	0.0019156899999999998	0.003586075622461129
248	1 9	1 3	1 39	1 45	0.0009937235	0.00422175021694395
249	1 9	1 3	1 45	1 51	0.000555465	0.005100865338782377
250	1 9	1 3	1 51	1 57	0.00032193550000000004	0.005660672457150513
251	1 9	1 3	1 57	1 63	0.0002286115	0.006672183775584285
252	1 9	1 2	1 16	1 23	0.04859595	0.004303616325828036
253	1 9	1 2	1 23	1 30	0.00766005	0.002683093832633944
254	1 9	1 2	1 30	1 37	0.003521335	0.0038905730651674453
255	1 9	1 2	1 37	1 44	0.0014669449999999999	0.003958017746384209
256	1 9	1 2	1 44	1 51	0.0007723975	0.005313564296124615
257	1 9	1 2	1 51	1 58	0.000421386	0.005897856617761806
258	1 9	1 2	1 65	1 72	0.000157683	0.007444541000935843
259	1 9	1 1	1 17	1 25	0.0400144	0.0035665728867654194
260	1 9	1 1	1 25	1 33	0.00602878	0.0029552077461407924
261	1 9	1 1	1 33	1 41	0.002836565	0.003763090895804273
262	1 9	1 1	1 41	1 49	0.00125756	0.004779879701693235
263	1 9	1 1	1 49	1 57	0.00063416	0.005766410779541132
264	1 9	1 1	1 57	1 65	0.0003597545	0.006877370096821188
265	1 9	1 1	1 65	1 73	0.000187436	0.007640452940293075
